CIA,Bloque,PAD,POZO,ETAPA,CAUDAL PROMEDIO(BPM),PRESION PROMEDIO (PSI),CFR,CLUSTER,DISPAROS,MPA I,TAPON (MTS),ISIP POST
HASA,LOMA CAMPANA,LC319,LLL-1786(h),4,"58,0",11010,"5,8",8,24,FLUIDO,6397,7234
HASA,LOMA CAMPANA,LC319,LLL-1786(h),5,"60,6",11170,"6,7",8,24,FLUIDO,6349,6809
HASA,LOMA CAMPANA,LC276-2,LLL-1813(h),12,"61,5",10910,"5,0",8,24,,6272,7309
HASA,LOMA CAMPANA,LC319,LLL-1786(h),6,"62,1",11114,"5,8",8,24,FLUIDO,6301,6943
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),3,"63,0",10855,"7,5",8,24,FLUIDO,7538,6882
HASA,LOMA CAMPANA,LC276-2,LLL-1813(h),8,"63,0",11051,"5,8",8,24,,6432,6553
HASA,BANDURRIA SUR,LCAV21,LCav-854(h),6,"63,0",11097,"8,3",10,30,FLUIDO,5627,7150
HASA,LOMA CAMPANA,LC319,LLL-1783(h),3,"64,0",10630,"5,0",8,24,FLUIDO,7134,6827
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),4,"64,0",10920,"5,8",8,24,FLUIDO,7595,6818
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),26,"64,0",11010,"5,8",8,24,FLUIDO,6254,6469
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),5,"65,2",10850,"5,8",8,24,,7547,6706
HASA,LA AMARGA CHICA,LACH135,LACh-533(h),11,"66,0",10915,"5,8",10,30,,5763,6370
HASA,LOMA CAMPANA,LC319,LLL-1783(h),4,"66,0",11017,"5,8",8,16,FLUIDO,7086,7103
HASA,LOMA CAMPANA,LC319,LLL-1785(h),6,"66,2",10976,"6,7",8,24,FLUIDO,6497,6872
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),16,"66,4",10932,"5,8",8,24,,6730,6170
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),3,"66,5",10760,"6,7",8,24,,7643,6801
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),2,"67,0",10930,"6,7",8,24,FLUIDO,7578,6798
HASA,BANDURRIA SUR,LCAV21,LCav-854(h),2,"67,0",10960,"5,8",10,30,CLEAN SWEEP,5867,6955
HASA,LOMA CAMPANA,LC319,LLL-1783(h),8,"67,0",11014,"5,0",8,24,FLUIDO,6894,6752
HASA,LOMA CAMPANA,LC319,LLL-1785(h),39,"67,0",11020,"4,2",10,30,FLUIDO,4613,6761
HASA,LOMA CAMPANA,LC319,LLL-1785(h),7,"67,0",11030,"5,8",8,24,FLUIDO,6449,7091
HASA,BANDURRIA SUR,LCAV21,LCav-854(h),5,"67,0",11089,"5,0",10,30,CORTA ARENA,5687,7375
HASA,LOMA CAMPANA,LC319,LLL-1783(h),5,"67,0",11120,"5,0",8,16,FLUIDO,7038,6814
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),15,"67,2",10939,"5,8",8,24,,6778,6190
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),25,"67,5",11070,"5,8",8,24,,6302,6532
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),10,"67,5",10390,"6,7",8,24,,7258,6753
HASA,BANDURRIA SUR,LCAV21,LCav-802(h),4,"68,0",10520,"5,8",10,30,,5322,5833
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),8,"68,0",10760,"6,7",8,24,,7338,6947
HASA,LOMA CAMPANA,LC319,LLL-1784(h),8,"68,0",10902,"5,8",8,24,FLUIDO,6660,6856
HASA,LA AMARGA CHICA,LACH112,LACh-424(h),7,"68,0",11215,"5,0",12,24,CORTA ARENA,6744,6325
HASA,LOMA CAMPANA,LC319,LLL-1786(h),3,"68,0",11001,"5,0",8,24,FLUIDO,6445,6900
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),1,"68,1",11070,"5,8",8,24,FLUIDO,7454,6274
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),8,"68,5",10660,"6,7",8,24,,7403,6788
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),9,"68,5",10830,"6,7",8,24,,7355,6678
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),4,"69,0",10860,"5,8",8,24,,7498,6861
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),9,"69,0",10975,"5,8",8,24,,7298,6798
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),20,"69,0",10980,"5,8",8,24,,6873,6629
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),7,"69,4",10900,"6,7",8,24,,7451,6695
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),8,"69,8",10740,"5,0",8,24,FLUIDO,7114,6210
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),2,"70,0",10890,"6,7",8,24,FLUIDO,7691,6764
HASA,LA AMARGA CHICA,LACH135,LACh-533(h),1,"70,0",10900,"5,8",,,FLUIDO,6363,6125
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),10,"70,0",10910,"5,8",8,24,,6985,6623
HASA,LA AMARGA CHICA,LACH135,LACh-533(h),6,"70,0",10951,"5,8",10,30,CLEAN SWEEP,6063,6824
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),4,"70,0",10980,"4,2",8,24,FLUIDO,7306,6336
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),9,"70,0",10990,"4,2",8,24,,7070,6430
HASA,LOMA CAMPANA,LC319,LLL-1783(h),11,"70,0",11002,"5,8",8,24,FLUIDO,6750,6751
HASA,LOMA CAMPANA,LC319,LLL-1783(h),15,"70,0",11006,"5,0",8,24,FLUIDO,6558,6678
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),3,"70,3",11005,"5,8",8,24,,7265,6701
HASA,LOMA CAMPANA,LC325,LLL-1864(h),8,"70,3",11043,"6,7",8,24,,7406,6170
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),2,"70,5",10980,"10,0",8,24,,7305,6729
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),29,"70,5",10984,"4,2",10,30,FLUIDO,6371,6665
HASA,LA AMARGA CHICA,LACH104,LACh-476(h),1,"70,6",10915,"4,2",,,FLUIDO,6531,5884
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),28,"70,9",10950,"3,3",10,30,FLUIDO,6553,6579
HASA,LOMA CAMPANA,LC322,LLL-1828(h),4,"71,0",10415,"5,8",8,24,,7293,6480
HASA,LOMA CAMPANA,LC322,LLL-1828(h),36,"71,0",10749,"5,8",10,20,CLEAN SWEEP,5610,6150
HASA,BANDURRIA SUR,LCAV21,LCav-854(h),7,"71,0",10800,"9,2",10,30,FLUIDO,5567,6938
HASA,LOMA CAMPANA,LC319,LLL-1783(h),14,"71,0",10914,"5,0",8,24,,6606,6825
HASA,LOMA CAMPANA,LC319,LLL-1785(h),13,"71,0",10970,"5,0",8,24,,6161,6982
HASA,LA AMARGA CHICA,LACH135,LACh-533(h),8,"71,0",10983,"4,2",10,30,,5943,6739
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),5,"71,0",11022,"4,2",8,24,,7258,6246
HASA,LOMA CAMPANA,LC319,LLL-1783(h),19,"71,1",10920,"5,8",8,24,,6366,6774
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),5,"71,4",10973,"3,3",8,24,,7262,6256
HASA,LOMA CAMPANA,LC319,LLL-1784(h),16,"71,5",10902,"4,2",8,24,,6276,6875
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),11,"71,6",10938,"5,8",8,24,,6970,6002
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),27,"71,8",11120,"3,3",10,30,FLUIDO,6491,6572
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),13,"72,0",10870,"5,8",8,24,,6865,6419
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),2,"72,0",10950,"5,0",8,24,,7402,6267
HASA,LOMA CAMPANA,LC319,LLL-1784(h),7,"72,0",11130,"5,0",8,24,FLUIDO,6708,6931
HASA,LOMA CAMPANA,LC319,LLL-1786(h),37,"72,1",10984,"3,3",12,24,CLEAN SWEEP,4464,6816
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),12,"72,5",10860,"5,8",8,24,,7211,6585
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),16,"72,5",10800,"5,8",8,24,,7033,6690
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),11,"72,5",10950,"5,8",8,24,,7259,6662
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),4,"72,5",11050,"5,8",8,24,,7225,6704
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),17,"72,7",10997,"5,8",8,24,,6682,6184
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),12,"72,8",10748,"5,8",8,24,,6905,6688
HASA,LA AMARGA CHICA,LACH60-2,LACh-418(h),2,"72,8",11000,"5,8",8,24,FLUIDO,7374,6585
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),20,"73,0",10600,"7,5",8,24,,6827,6704
HASA,CHAÑAR GRANDE,CHG-1,ChG.x-2(h),4,"73,0",10680,"5,0",10,30,FLUIDO,4862,6494
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),13,"73,0",10780,"6,7",8,24,,7163,6591
HASA,LA AMARGA CHICA,LACH60-2,LACh-418(h),6,"73,0",10790,"5,8",8,24,,7214,6566
HASA,LA AMARGA CHICA,LACH60-2,LACh-418(h),10,"73,0",10810,"6,7",8,24,,7054,6398
HASA,LOMA CAMPANA,LC276-2,LLL-1813(h),2,"73,0",10845,"5,0",8,24,FLUIDO,6672,6760
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),5,"73,0",10852,"5,8",8,24,,7185,6634
HASA,LOMA CAMPANA,LC319,LLL-1786(h),7,"73,0",10927,"5,8",8,24,FLUIDO,6253,7116
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),6,"73,0",10947,"4,2",8,24,,7210,6243
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),19,"73,0",10965,"2,5",10,30,FLUIDO,6625,6614
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),20,"73,0",10970,"3,3",10,30,FLUIDO,6575,6481
HASA,LOMA CAMPANA,LC325,LLL-1864(h),16,"73,0",10990,"5,0",8,24,,7086,6282
HASA,LOMA CAMPANA,LC276-2,LLL-1813(h),9,"73,0",11000,"5,8",8,24,,6392,6618
HASA,LOMA CAMPANA,LC325,LLL-1862(h),21,"73,0",11015,"3,3",8,24,,7048,6097
HASA,LOMA CAMPANA,LC276-2,LLL-1813(h),6,"73,0",11020,"2,5",8,24,,6512,6810
HASA,LOMA CAMPANA,LC322,LLL-1829(h),3,"73,0",11042,"5,8",8,24,,7346,6510
HASA,LOMA CAMPANA,LC322,LLL-1825(h),3,"73,0",11096,"5,8",8,24,,7529,6240
HASA,BANDURRIA SUR,LCAV21,LCav-854(h),3,"73,0",11108,"5,0",10,30,FLUIDO,5807,7373
HASA,LOMA CAMPANA,LC319,LLL-1784(h),4,"73,0",11203,"5,0",8,16,FLUIDO,6852,7123
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),26,"73,1",10890,"5,8",8,24,,6633,6637
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),17,"73,1",10972,"4,2",8,24,,6686,6329
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),22,"73,2",10878,"5,8",8,24,,6793,6713
HASA,LA AMARGA CHICA,LACH60-2,LACh-418(h),3,"73,2",11115,"5,8",8,24,,7334,6637
HASA,LOMA CAMPANA,LC319,LLL-1783(h),17,"73,3",10907,"4,2",8,24,,6462,6681
HASA,LOMA CAMPANA,LC325,LLL-1863(h),49,"73,3",10921,"3,3",10,30,FLUIDO,5114,6006
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),30,"73,5",10830,"5,0",10,30,FLUIDO,6453,6607
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),18,"73,5",10860,"5,8",8,24,,6953,6684
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),11,"73,5",10985,"5,8",8,24,,6945,6524
HASA,LA AMARGA CHICA,LACH60-2,LACh-418(h),4,"73,5",11040,"5,8",8,24,,7294,6687
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),3,"73,5",11047,"4,2",8,24,,7354,6270
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),6,"73,7",11064,"3,3",8,24,,7214,6233
HASA,LOMA CAMPANA,LC325,LLL-1862(h),17,"73,8",10932,"3,3",8,24,,7208,6180
HASA,LA AMARGA CHICA,LACH104,LACh-477(h),17,"73,9",10656,"5,8",10,30,CLEAN SWEEP,5683,6142
HASA,LA AMARGA CHICA,LACH104,LACh-478(h),15,"73,9",10898,"3,3",10,30,,5522,6177
HASA,LOMA CAMPANA,LC319,LLL-1785(h),10,"73,9",11003,"5,0",8,24,FLUIDO,6305,6928
HASA,BANDURRIA SUR,LCAV12-1,LCav-416(h),9,"74,0",11031,"4,2",12,24,,4840,6654
HASA,CHAÑAR GRANDE,CHG-1,ChG.x-2(h),3,"74,0",10762,"5,0",10,30,FLUIDO,4922,6252
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),25,"74,0",10836,"5,8",8,24,,6673,6861
HASA,LOMA CAMPANA,LC322,LLL-1825(h),8,"74,0",10914,"5,0",8,24,,7329,6520
HASA,LOMA CAMPANA,LC325,LLL-1862(h),53,"74,0",10957,"5,0",10,30,,5548,6050
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),19,"74,0",10981,"5,8",8,24,,6913,6780
HASA,LOMA CAMPANA,LC322,LLL-1826(h),37,"74,0",11001,"5,8",10,20,,5887,6155
HASA,LOMA CAMPANA,LC319,LLL-1784(h),17,"74,0",11020,"5,0",8,24,,6228,6891
HASA,LOMA CAMPANA,LC322,LLL-1829(h),17,"74,0",11025,"5,0",10,20,,6776,5977
HASA,LOMA CAMPANA,LC319,LLL-1784(h),6,"74,0",11040,"5,0",8,24,FLUIDO,6756,6729
HASA,LOMA CAMPANA,LC325,LLL-1864(h),9,"74,0",10929,"5,8",8,24,,7366,5980
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),13,"74,3",10862,"5,8",8,24,,7138,6728
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),17,"74,3",10868,"5,8",8,24,,6993,6735
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),14,"74,3",10873,"6,7",8,24,,7115,6643
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),9,"74,5",10913,"5,8",8,24,,7066,6176
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),23,"74,5",10940,"4,2",8,24,,6398,6470
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),8,"74,5",10998,"3,3",8,24,,7118,6387
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),7,"74,7",10895,"5,8",8,24,,7105,6587
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),21,"74,7",10997,"3,3",10,30,,6525,6689
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),12,"74,8",10920,"3,3",8,24,,6926,6220
HASA,LA AMARGA CHICA,LACH135,LACh-533(h),24,"74,8",10964,"5,0",10,30,,4983,6165
HASA,LOMA CAMPANA,LC325,LLL-1862(h),15,"74,8",11041,"3,3",8,24,,7288,6098
HASA,LOMA CAMPANA,LC325,LLL-1862(h),22,"74,9",11015,"3,3",8,24,,7008,6085
HASA,LOMA CAMPANA,LC319,LLL-1783(h),12,"74,9",10988,"5,8",8,24,FLUIDO,6702,6827
HASA,LA AMARGA CHICA,LACH60-2,LACh-418(h),9,"75,0",10751,"5,0",8,24,,7094,6567
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),17,"75,0",10836,"7,5",8,24,,6971,6644
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),12,"75,0",10860,"5,8",8,24,,7178,6755
HASA,LA AMARGA CHICA,LACH60-2,LACh-418(h),8,"75,0",10870,"5,8",8,24,,7134,6552
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),15,"75,0",10906,"4,2",8,24,,6782,6323
HASA,LOMA CAMPANA,LC276-2,LLL-1817(h),2,"75,0",10909,"4,2",10,30,FLUIDO,6688,6750
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),15,"75,0",10918,"7,5",8,24,,7067,6718
HASA,LOMA CAMPANA,LC322,LLL-1825(h),2,"75,0",10918,"5,8",8,24,,7569,6258
HASA,LOMA CAMPANA,LC319,LLL-1784(h),5,"75,0",10950,"5,8",8,16,FLUIDO,6804,7054
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),8,"75,0",10960,"6,7",8,24,,7065,6521
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),6,"75,0",10980,"5,8",8,24,,7145,6660
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),18,"75,0",11018,"4,2",8,24,,6638,6415
HASA,LOMA CAMPANA,LC319,LLL-1783(h),7,"75,0",11021,"5,0",8,24,FLUIDO,6942,6852
HASA,LOMA CAMPANA,LC322,LLL-1829(h),4,"75,0",11028,"5,8",8,24,,7306,6505
HASA,LOMA CAMPANA,LC276-2,LLL-1813(h),3,"75,0",11055,"5,8",8,24,,6632,6854
HASA,LOMA CAMPANA,LC276-2,LLL-1813(h),4,"75,0",11081,"2,5",8,24,,6592,6911
HASA,BAJO DEL TORO,BDTN7,BdTN-286(h),30,"75,0",11121,"5,0",10,30,,4941,6184
HASA,LA AMARGA CHICA,LACH104,LACh-476(h),4,"75,0",9695,"1,7",10,30,CLEAN SWEEP,6351,6114
HASA,LOMA CAMPANA,LC325,LLL-1864(h),17,"75,3",11028,"5,8",8,24,,7046,6105
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),18,"75,3",10775,"5,8",8,24,,6665,6503
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),26,"75,3",10888,"6,7",8,24,,6539,6793
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),40,"75,3",11048,"3,3",10,30,FLUIDO,5953,6697
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),30,"75,4",10990,"5,8",12,24,,6027,6482
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),24,"75,5",10929,"4,2",8,24,,6346,6381
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),45,"75,5",10932,"2,5",10,30,,5703,6810
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),16,"75,5",10940,"7,5",8,24,,7019,6661
HASA,LOMA CAMPANA,LC276-2,LLL-1818(h),8,"75,5",10990,"6,7",10,30,FLUIDO,6291,6502
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),24,"75,6",10805,"7,5",8,24,,6635,6739
HASA,BANDURRIA SUR,LCAV59-1,LCav-723(h),4,"75,6",10910,"4,2",10,20,,5756,6373
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),15,"75,7",10832,"5,8",8,24,,7073,6684
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),22,"75,7",10857,"3,3",8,24,,6446,6284
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),22,"75,7",10869,"6,7",8,24,,6731,6820
HASA,LOMA CAMPANA,LC319,LLL-1783(h),16,"75,7",11061,"5,0",8,24,FLUIDO,6510,6921
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),21,"75,8",10794,"6,7",8,24,,6779,6736
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),24,"75,8",10930,"5,8",8,24,,6713,6607
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),23,"75,8",10935,"5,8",8,24,,6753,6777
HASA,LA AMARGA CHICA,LACH104,LACh-479(h),3,"75,8",10949,"2,5",10,30,,6316,5701
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),39,"75,9",11019,"5,0",12,24,,5486,6478
HASA,LOMA CAMPANA,LC319,LLL-1784(h),13,"76,0",11069,"4,2",8,24,FLUIDO,6420,6625
HASA,LA AMARGA CHICA,LACH112,LACh-425(h),5,"76,0",10684,"2,5",8,24,,7174,6614
HASA,LOMA CAMPANA,LC319,LLL-1783(h),43,"76,0",10860,"3,3",12,24,,4987,6598
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),27,"76,0",10869,"6,7",8,24,,6593,6728
HASA,LOMA CAMPANA,LC276-2,LLL-1817(h),1,"76,0",10875,"6,7",10,30,FLUIDO,6740,6115
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),7,"76,0",10903,"3,3",8,24,,7166,6286
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),14,"76,0",10910,"6,7",5,15,,7098,6635
HASA,LOMA CAMPANA,LC322,LLL-1825(h),39,"76,0",10919,"4,2",10,20,,6005,6260
HASA,LOMA CAMPANA,LC325,LLL-1862(h),42,"76,0",10930,"3,3",10,30,,6098,5882
HASA,LA AMARGA CHICA,LACH60-2,LACh-418(h),7,"76,0",10950,"5,8",8,24,,7174,6549
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),28,"76,0",10965,"5,8",12,24,,6147,6635
HASA,LOMA CAMPANA,LC319,LLL-1785(h),30,"76,0",10970,"5,0",10,30,,5153,6832
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),36,"76,0",10979,"2,5",10,30,,5951,6530
HASA,LOMA CAMPANA,LC322,LLL-1828(h),31,"76,0",11000,"5,8",10,20,CORTA ARENA,5880,6300
HASA,LOMA CAMPANA,LC325,LLL-1862(h),43,"76,0",11002,"4,2",10,30,FLUIDO,6048,6080
HASA,LOMA CAMPANA,LC276-2,LLL-1813(h),5,"76,0",11014,"3,3",8,24,,6552,6915
HASA,LOMA CAMPANA,LC319,LLL-1784(h),9,"76,0",11022,"5,8",8,24,,6612,6894
HASA,LOMA CAMPANA,LC325,LLL-1862(h),19,"76,0",11025,"3,3",8,24,,7128,6046
HASA,LOMA CAMPANA,LC322,LLL-1827(h),4,"76,0",11028,"5,8",8,24,,7367,6274
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),19,"76,0",11034,"5,0",8,24,,6586,6197
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),19,"76,0",11035,"4,2",8,24,,6590,6425
HASA,BAJO DEL TORO,BDTN7,BdTN-286(h),3,"76,0",11040,"2,5",10,30,,6561,6439
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),29,"76,0",11060,"6,7",12,24,,6087,6662
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),19,"76,0",11080,"7,5",8,24,,6875,6673
HASA,LOMA CAMPANA,LC319,LLL-1785(h),9,"76,2",11022,"6,7",8,24,FLUIDO,6353,6864
HASA,LA AMARGA CHICA,LACH104,LACh-478(h),18,"76,2",10559,"5,0",10,30,,5342,6498
HASA,LOMA CAMPANA,LC276-2,LLL-1816(h),1,"76,2",10890,"6,7",10,30,FLUIDO,6657,6094
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),11,"76,2",11080,"5,8",8,24,,7218,6728
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),12,"76,3",10868,"5,8",8,24,,6922,6104
HASA,LOMA CAMPANA,LC276-2,LLL-1813(h),10,"76,3",10931,"5,8",8,24,,6352,6609
HASA,LA AMARGA CHICA,LACH104,LACh-479(h),10,"76,4",10907,"3,3",10,30,FLUIDO,5896,5840
HASA,LOMA CAMPANA,LC276-2,LLL-1818(h),2,"76,4",10950,"5,8",10,30,,6651,6222
HASA,BANDURRIA SUR,LCAV132,LCav-679(h),22,"76,5",9744,"4,2",10,30,CLEAN SWEEP,4824,6059
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),9,"76,5",10860,"5,8",8,24,,7025,6616
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),18,"76,5",11061,"5,0",8,24,,6634,6351
HASA,LA AMARGA CHICA,LACH135,LACh-533(h),16,"76,5",10681,"4,2",10,30,,5463,6613
HASA,LA AMARGA CHICA,LACH83,LACh-274(h),2,"76,6",11039,"5,8",10,30,FLUIDO,6474,5880
HASA,LA AMARGA CHICA,LACH67,LACh-1027(h),24,"76,6",10968,"4,2",8,24,,6350,6594
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),23,"76,6",10985,"4,2",8,24,,6394,6340
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),30,"76,6",11070,"2,5",10,30,,6075,6584
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),17,"76,7",10836,"5,8",8,24,,6705,6609
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),18,"76,7",10920,"6,7",8,24,,6923,6776
HASA,LOMA CAMPANA,LC325,LLL-1864(h),11,"76,7",11010,"5,8",8,24,,7286,6124
HASA,LOMA CAMPANA,LC322,LLL-1826(h),50,"76,8",9497,"4,2",8,24,,5322,6258
HASA,LOMA CAMPANA,LC322,LLL-1828(h),38,"76,9",10777,"5,8",10,20,FLUIDO,5520,6200
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),36,"76,9",11007,"2,5",10,30,,5775,6722
HASA,LOMA CAMPANA,LC322,LLL-1829(h),46,"77,0",9105,"5,0",12,24,,5194,6180
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),26,"77,0",10070,"4,2",10,30,FLUIDO,6275,6548
HASA,LA AMARGA CHICA,LACH135,LACh-531(h),40,"77,0",10373,"8,3",10,30,CLEAN SWEEP,3626,6427
HASA,LA AMARGA CHICA,LACH67,LACh-208(h),14,"77,0",10690,"5,8",8,24,,6826,6205
HASA,LOMA CAMPANA,LC319,LLL-1783(h),67,"77,0",10772,"4,2",12,24,DIRTY SWEEP,3547,6329
HASA,LOMA CAMPANA,LC276-2,LLL-1813(h),14,"77,0",10816,"8,3",8,24,FLUIDO,6192,6514
HASA,LA AMARGA CHICA,LACH60-2,LACh-418(h),12,"77,0",10825,"5,8",8,24,,6974,6435
HASA,LOMA CAMPANA,LC276-2,LLL-1817(h),4,"77,0",10851,"3,3",10,30,,6588,6944
HASA,LA AMARGA CHICA,LACH60-2,LACh-418(h),20,"77,0",10860,"5,0",10,30,,6644,6469
HASA,BANDURRIA SUR,LCAV21,LCav-854(h),8,"77,0",10890,"9,2",10,30,FLUIDO,5507,6607
HASA,LOMA CAMPANA,LC319,LLL-1783(h),20,"77,0",10901,"4,2",8,24,,6318,6900
HASA,LA AMARGA CHICA,LACH60-2,LACh-417(h),41,"77,0",10920,"2,5",10,30,,5903,6604
HASA,LA AMARGA CHICA,LACH135,LACh-532(h),11,"77,0",10940,"5,0",10,30,FLUIDO,5688,6313
HASA,LOMA CAMPANA,LC325,LLL-1862(h),47,"77,0",10942,"3,3",10,30,,5848,5961
HASA,LA AMARGA CHICA,LACH135,LACh-531(h),7,"77,0",10955,"4,2",10,30,,5606,6575
HASA,LOMA CAMPANA,LC319,LLL-1785(h),21,"77,0",10961,"4,2",10,30,,5693,6870
HASA,LA AMARGA CHICA,LACH60-2,LACh-416(h),34,"77,0",10990,"3,3",10,30,,6071,6582
HASA,LA AMARGA CHICA,LACH60-2,LACh-419(h),14,"77,0",11000,"6,7",8,24,,6825,6590
HASA,LA AMARGA CHICA,LACH135,LACh-533(h),18,"77,0",11005,"3,3",10,30,,5343,6370
HASA,LOMA CAMPANA,LC325,LLL-1862(h),24,"77,0",11010,"4,2",8,24,FLUIDO,6928,5930
HASA,LOMA CAMPANA,LC325,LLL-1866(h),51,"77,0",11010,"4,2",10,30,,4925,5557
HASA,LOMA CAMPANA,LC325,LLL-1862(h),25,"77,0",11013,"4,2",8,24,,6888,6059
